lang,algo,family,instance,n,m,opt,k,time_ms,nodes,timed_out,replica
python,smart,random,random_n30_m120_s0,30,120,NA,26,1207.534,37854,0,1
cpp,smart,random,random_n30_m120_s0,30,120,NA,26,18.470,37854,0,1
java,smart,random,random_n30_m120_s0,30,120,NA,26,48.946,37854,0,1
python,smart,random,random_n30_m120_s0,30,120,NA,26,1186.904,37854,0,2
cpp,smart,random,random_n30_m120_s0,30,120,NA,26,18.400,37854,0,2
java,smart,random,random_n30_m120_s0,30,120,NA,26,47.977,37854,0,2
python,smart,random,random_n30_m120_s0,30,120,NA,26,1213.163,37854,0,3
cpp,smart,random,random_n30_m120_s0,30,120,NA,26,18.394,37854,0,3
java,smart,random,random_n30_m120_s0,30,120,NA,26,53.668,37854,0,3
python,smart,random,random_n30_m120_s1,30,120,NA,26,5310.782,210054,0,1
cpp,smart,random,random_n30_m120_s1,30,120,NA,26,81.962,210054,0,1
java,smart,random,random_n30_m120_s1,30,120,NA,26,129.703,210054,0,1
python,smart,random,random_n30_m120_s1,30,120,NA,26,5729.918,210054,0,2
cpp,smart,random,random_n30_m120_s1,30,120,NA,26,81.695,210054,0,2
java,smart,random,random_n30_m120_s1,30,120,NA,26,116.686,210054,0,2
python,smart,random,random_n30_m120_s1,30,120,NA,26,5325.584,210054,0,3
cpp,smart,random,random_n30_m120_s1,30,120,NA,26,82.348,210054,0,3
java,smart,random,random_n30_m120_s1,30,120,NA,26,123.962,210054,0,3
python,smart,random,random_n30_m120_s2,30,120,NA,25,796.495,25544,0,1
cpp,smart,random,random_n30_m120_s2,30,120,NA,25,12.361,25544,0,1
java,smart,random,random_n30_m120_s2,30,120,NA,25,38.601,25544,0,1
python,smart,random,random_n30_m120_s2,30,120,NA,25,802.671,25544,0,2
cpp,smart,random,random_n30_m120_s2,30,120,NA,25,12.338,25544,0,2
java,smart,random,random_n30_m120_s2,30,120,NA,25,36.925,25544,0,2
python,smart,random,random_n30_m120_s2,30,120,NA,25,798.806,25544,0,3
cpp,smart,random,random_n30_m120_s2,30,120,NA,25,12.335,25544,0,3
java,smart,random,random_n30_m120_s2,30,120,NA,25,37.607,25544,0,3
python,smart,random,random_n30_m120_s3,30,120,NA,27,1043.165,36800,0,1
cpp,smart,random,random_n30_m120_s3,30,120,NA,27,15.477,36800,0,1
java,smart,random,random_n30_m120_s3,30,120,NA,27,45.811,36800,0,1
python,smart,random,random_n30_m120_s3,30,120,NA,27,1046.215,36800,0,2
cpp,smart,random,random_n30_m120_s3,30,120,NA,27,15.424,36800,0,2
java,smart,random,random_n30_m120_s3,30,120,NA,27,48.172,36800,0,2
python,smart,random,random_n30_m120_s3,30,120,NA,27,1023.189,36800,0,3
cpp,smart,random,random_n30_m120_s3,30,120,NA,27,15.479,36800,0,3
java,smart,random,random_n30_m120_s3,30,120,NA,27,46.574,36800,0,3
python,smart,random,random_n30_m120_s4,30,120,NA,27,659.931,26841,0,1
cpp,smart,random,random_n30_m120_s4,30,120,NA,27,9.715,26841,0,1
java,smart,random,random_n30_m120_s4,30,120,NA,27,32.343,26841,0,1
python,smart,random,random_n30_m120_s4,30,120,NA,27,648.491,26841,0,2
cpp,smart,random,random_n30_m120_s4,30,120,NA,27,9.745,26841,0,2
java,smart,random,random_n30_m120_s4,30,120,NA,27,32.630,26841,0,2
python,smart,random,random_n30_m120_s4,30,120,NA,27,647.166,26841,0,3
cpp,smart,random,random_n30_m120_s4,30,120,NA,27,9.743,26841,0,3
java,smart,random,random_n30_m120_s4,30,120,NA,27,33.044,26841,0,3
python,smart,random,random_n30_m240_s0,30,240,NA,30,256.358,7744,0,1
cpp,smart,random,random_n30_m240_s0,30,240,NA,30,4.797,7744,0,1
java,smart,random,random_n30_m240_s0,30,240,NA,30,18.752,7744,0,1
python,smart,random,random_n30_m240_s0,30,240,NA,30,259.812,7744,0,2
cpp,smart,random,random_n30_m240_s0,30,240,NA,30,4.739,7744,0,2
java,smart,random,random_n30_m240_s0,30,240,NA,30,18.206,7744,0,2
python,smart,random,random_n30_m240_s0,30,240,NA,30,260.370,7744,0,3
cpp,smart,random,random_n30_m240_s0,30,240,NA,30,4.842,7744,0,3
java,smart,random,random_n30_m240_s0,30,240,NA,30,18.102,7744,0,3
python,smart,random,random_n30_m240_s1,30,240,NA,30,494.887,14808,0,1
cpp,smart,random,random_n30_m240_s1,30,240,NA,30,9.179,14808,0,1
java,smart,random,random_n30_m240_s1,30,240,NA,30,29.349,14808,0,1
python,smart,random,random_n30_m240_s1,30,240,NA,30,496.114,14808,0,2
cpp,smart,random,random_n30_m240_s1,30,240,NA,30,9.134,14808,0,2
java,smart,random,random_n30_m240_s1,30,240,NA,30,29.188,14808,0,2
python,smart,random,random_n30_m240_s1,30,240,NA,30,496.148,14808,0,3
cpp,smart,random,random_n30_m240_s1,30,240,NA,30,9.234,14808,0,3
java,smart,random,random_n30_m240_s1,30,240,NA,30,29.439,14808,0,3
python,smart,random,random_n30_m240_s2,30,240,NA,30,268.334,8278,0,1
cpp,smart,random,random_n30_m240_s2,30,240,NA,30,5.163,8278,0,1
java,smart,random,random_n30_m240_s2,30,240,NA,30,18.735,8278,0,1
python,smart,random,random_n30_m240_s2,30,240,NA,30,272.933,8278,0,2
cpp,smart,random,random_n30_m240_s2,30,240,NA,30,5.257,8278,0,2
java,smart,random,random_n30_m240_s2,30,240,NA,30,18.608,8278,0,2
python,smart,random,random_n30_m240_s2,30,240,NA,30,272.168,8278,0,3
cpp,smart,random,random_n30_m240_s2,30,240,NA,30,5.185,8278,0,3
java,smart,random,random_n30_m240_s2,30,240,NA,30,18.574,8278,0,3
python,smart,random,random_n30_m240_s3,30,240,NA,30,92.759,2542,0,1
cpp,smart,random,random_n30_m240_s3,30,240,NA,30,1.750,2542,0,1
java,smart,random,random_n30_m240_s3,30,240,NA,30,10.031,2542,0,1
python,smart,random,random_n30_m240_s3,30,240,NA,30,93.892,2542,0,2
cpp,smart,random,random_n30_m240_s3,30,240,NA,30,1.748,2542,0,2
java,smart,random,random_n30_m240_s3,30,240,NA,30,10.147,2542,0,2
python,smart,random,random_n30_m240_s3,30,240,NA,30,90.959,2542,0,3
cpp,smart,random,random_n30_m240_s3,30,240,NA,30,1.744,2542,0,3
java,smart,random,random_n30_m240_s3,30,240,NA,30,9.957,2542,0,3
python,smart,random,random_n30_m240_s4,30,240,NA,30,477.881,13687,0,1
cpp,smart,random,random_n30_m240_s4,30,240,NA,30,9.164,13687,0,1
java,smart,random,random_n30_m240_s4,30,240,NA,30,28.340,13687,0,1
python,smart,random,random_n30_m240_s4,30,240,NA,30,477.610,13687,0,2
cpp,smart,random,random_n30_m240_s4,30,240,NA,30,9.207,13687,0,2
java,smart,random,random_n30_m240_s4,30,240,NA,30,30.033,13687,0,2
python,smart,random,random_n30_m240_s4,30,240,NA,30,479.892,13687,0,3
cpp,smart,random,random_n30_m240_s4,30,240,NA,30,9.230,13687,0,3
java,smart,random,random_n30_m240_s4,30,240,NA,30,28.659,13687,0,3
python,smart,random,random_n30_m480_s0,30,480,NA,30,10.426,301,0,1
cpp,smart,random,random_n30_m480_s0,30,480,NA,30,0.213,301,0,1
java,smart,random,random_n30_m480_s0,30,480,NA,30,6.435,301,0,1
python,smart,random,random_n30_m480_s0,30,480,NA,30,10.469,301,0,2
cpp,smart,random,random_n30_m480_s0,30,480,NA,30,0.220,301,0,2
java,smart,random,random_n30_m480_s0,30,480,NA,30,6.391,301,0,2
python,smart,random,random_n30_m480_s0,30,480,NA,30,10.807,301,0,3
cpp,smart,random,random_n30_m480_s0,30,480,NA,30,0.214,301,0,3
java,smart,random,random_n30_m480_s0,30,480,NA,30,6.592,301,0,3
python,smart,random,random_n30_m480_s1,30,480,NA,30,4.444,145,0,1
cpp,smart,random,random_n30_m480_s1,30,480,NA,30,0.102,145,0,1
java,smart,random,random_n30_m480_s1,30,480,NA,30,4.738,145,0,1
python,smart,random,random_n30_m480_s1,30,480,NA,30,4.461,145,0,2
cpp,smart,random,random_n30_m480_s1,30,480,NA,30,0.102,145,0,2
java,smart,random,random_n30_m480_s1,30,480,NA,30,4.611,145,0,2
python,smart,random,random_n30_m480_s1,30,480,NA,30,4.693,145,0,3
cpp,smart,random,random_n30_m480_s1,30,480,NA,30,0.101,145,0,3
java,smart,random,random_n30_m480_s1,30,480,NA,30,4.678,145,0,3
python,smart,random,random_n30_m480_s2,30,480,NA,30,7.072,223,0,1
cpp,smart,random,random_n30_m480_s2,30,480,NA,30,0.152,223,0,1
java,smart,random,random_n30_m480_s2,30,480,NA,30,5.390,223,0,1
python,smart,random,random_n30_m480_s2,30,480,NA,30,7.049,223,0,2
cpp,smart,random,random_n30_m480_s2,30,480,NA,30,0.150,223,0,2
java,smart,random,random_n30_m480_s2,30,480,NA,30,5.514,223,0,2
python,smart,random,random_n30_m480_s2,30,480,NA,30,7.100,223,0,3
cpp,smart,random,random_n30_m480_s2,30,480,NA,30,0.152,223,0,3
java,smart,random,random_n30_m480_s2,30,480,NA,30,6.120,223,0,3
python,smart,random,random_n30_m480_s3,30,480,NA,30,4.609,137,0,1
cpp,smart,random,random_n30_m480_s3,30,480,NA,30,0.104,137,0,1
java,smart,random,random_n30_m480_s3,30,480,NA,30,4.750,137,0,1
python,smart,random,random_n30_m480_s3,30,480,NA,30,4.570,137,0,2
