lang,algo,family,instance,n,m,opt,k,time_ms,nodes,timed_out,replica
python,smart,hard,hard_n102_m3621_s0,102,3621,NA,NA,60000,NA,1,1
python,smart,hard,hard_n102_m3621_s0,102,3621,NA,NA,60000,NA,1,2
python,smart,hard,hard_n102_m3621_s0,102,3621,NA,NA,60000,NA,1,3
cpp,smart,hard,hard_n102_m3621_s0,102,3621,NA,NA,60000,NA,1,1
cpp,smart,hard,hard_n102_m3621_s0,102,3621,NA,NA,60000,NA,1,2
cpp,smart,hard,hard_n102_m3621_s0,102,3621,NA,NA,60000,NA,1,3
java,smart,hard,hard_n102_m3621_s0,102,3621,NA,NA,60000,NA,1,1
java,smart,hard,hard_n102_m3621_s0,102,3621,NA,NA,60000,NA,1,2
java,smart,hard,hard_n102_m3621_s0,102,3621,NA,NA,60000,NA,1,3
python,smart,hard,hard_n102_m3621_s1,102,3621,NA,NA,60000,NA,1,1
python,smart,hard,hard_n102_m3621_s1,102,3621,NA,NA,60000,NA,1,2
python,smart,hard,hard_n102_m3621_s1,102,3621,NA,NA,60000,NA,1,3
cpp,smart,hard,hard_n102_m3621_s1,102,3621,NA,NA,60000,NA,1,1
cpp,smart,hard,hard_n102_m3621_s1,102,3621,NA,NA,60000,NA,1,2
cpp,smart,hard,hard_n102_m3621_s1,102,3621,NA,NA,60000,NA,1,3
java,smart,hard,hard_n102_m3621_s1,102,3621,NA,NA,60000,NA,1,1
java,smart,hard,hard_n102_m3621_s1,102,3621,NA,NA,60000,NA,1,2
java,smart,hard,hard_n102_m3621_s1,102,3621,NA,NA,60000,NA,1,3
python,smart,hard,hard_n102_m3621_s2,102,3621,NA,NA,60000,NA,1,1
python,smart,hard,hard_n102_m3621_s2,102,3621,NA,NA,60000,NA,1,2
python,smart,hard,hard_n102_m3621_s2,102,3621,NA,NA,60000,NA,1,3
cpp,smart,hard,hard_n102_m3621_s2,102,3621,NA,NA,60000,NA,1,1
cpp,smart,hard,hard_n102_m3621_s2,102,3621,NA,NA,60000,NA,1,2
cpp,smart,hard,hard_n102_m3621_s2,102,3621,NA,NA,60000,NA,1,3
java,smart,hard,hard_n102_m3621_s2,102,3621,NA,NA,60000,NA,1,1
java,smart,hard,hard_n102_m3621_s2,102,3621,NA,NA,60000,NA,1,2
java,smart,hard,hard_n102_m3621_s2,102,3621,NA,NA,60000,NA,1,3
