lang,algo,family,time_ms_median,n_instances
cpp,brute,dense,0.005,1
cpp,brute,mini,0.001,4
cpp,brute,random,10.106,40
cpp,brute,structured,0.467,15
cpp,smart,dense,0.005,1
cpp,smart,mini,0.003,4
cpp,smart,random,0.028,40
cpp,smart,structured,0.009,15
java,brute,dense,3.375,1
java,brute,mini,3.017,4
java,brute,random,30.314,40
java,brute,structured,5.932,15
java,smart,dense,3.130,1
java,smart,mini,3.101,4
java,smart,random,3.699,40
java,smart,structured,3.258,15
python,brute,dense,0.196,1
python,brute,mini,0.018,4
python,brute,random,718.307,40
python,brute,structured,24.544,15
python,smart,dense,0.078,1
python,smart,mini,0.049,4
python,smart,random,1.021,40
python,smart,structured,0.200,15
